playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
malonma01,1872,1,BR1,NA,0,3,3,3,3,0,0,81,98,34,1,0,0,,11.33,,,,0,,,86,,,
martiph01,1872,2,BR1,NA,2,7,10,9,9,0,0,255,142,42,1,4,2,,4.45,,,,0,,,106,,,
martiph01,1872,1,TRO,NA,1,2,8,3,0,0,0,112,73,24,0,2,1,,5.79,,,,0,,,59,,,
mathebo01,1872,1,BL1,NA,25,18,49,47,39,0,0,1216,477,142,3,52,55,,3.15,,,,0,,,356,,,
mcbridi01,1872,1,PH1,NA,30,14,47,47,47,1,0,1257,513,140,3,26,44,,3.01,,,,0,,,349,,,
mcderjo01,1872,1,BR1,NA,0,7,7,7,7,0,0,189,142,58,3,12,1,,8.29,,,,0,,,144,,,
mcmuljo01,1872,1,NY2,NA,1,0,3,1,1,0,0,45,18,6,0,2,1,,3.6,,,,0,,,15,,,
orour01,1872,1,BR1,NA,0,1,1,1,1,0,0,27,16,6,0,2,0,,6,,,,0,,,15,,,
paborch01,1872,1,CL1,NA,1,1,2,2,2,0,0,54,20,6,0,3,0,,3,,,,0,,,15,,,
prattal01,1872,1,CL1,NA,2,9,15,12,8,0,0,314,150,51,3,14,7,,4.39,,,,0,,,133,,,
spaldal01,1872,1,BS1,NA,38,8,48,48,41,3,0,1214,412,89,0,27,27,,1.98,,,,1,,,224,,,
stearbi01,1872,1,WS4,NA,0,11,11,11,11,0,0,297,194,76,2,3,2,,6.91,,,,0,,,190,,,
woltery01,1872,1,CL1,NA,3,6,12,8,5,0,0,229,119,44,3,7,4,,5.19,,,,0,,,106,,,
wrighha01,1872,1,BS1,NA,1,0,7,0,0,0,1,77,26,6,0,0,1,,2.1,,,,0,,,12,,,
zettlge01,1872,1,TRO,NA,14,8,25,22,17,2,0,563,209,53,2,8,17,,2.54,,,,0,,,132,,,
zettlge01,1872,2,BR1,NA,1,8,9,9,8,0,0,226,105,25,1,6,8,,2.99,,,,0,,,62,,,
bechtge01,1873,1,PH2,NA,0,2,3,2,1,0,0,48,27,8,0,2,0,,4.5,,,,0,,,24,,,
brainas01,1873,1,BL1,NA,5,7,14,14,12,0,0,326,182,50,0,9,3,,4.14,,,,0,,,139,,,
brittji01,1873,1,BR2,NA,17,36,54,54,51,1,0,1442,696,208,6,40,15,,3.89,,,,0,,,519,,,
campbhu01,1873,1,ELI,NA,2,16,19,18,18,0,0,495,250,52,7,7,5,,2.84,,,,0,,,213,,,
cummica01,1873,1,BL1,NA,28,14,42,42,42,1,0,1146,475,113,4,33,31,,2.66,,,,0,,,292,,,
fergubo01,1873,1,BR2,NA,0,1,4,1,1,0,0,58,41,13,2,2,0,,6.05,,,,0,,,30,,,
fishech01,1873,1,PH1,NA,3,4,13,5,5,0,1,253,90,17,1,10,14,,1.81,,,,0,,,73,,,
fleetfr01,1873,1,ELI,NA,0,3,3,3,2,0,0,72,57,15,0,0,1,,5.63,,,,0,,,47,,,
forceda01,1873,1,BL1,NA,1,1,3,1,1,0,0,54,23,7,0,0,0,,3.5,,,,0,,,20,,,
