playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
frencbi01,1873,1,BL4,NA,0,1,1,1,1,0,0,27,30,12,1,0,0,,12,,,,0,,,27,,,
fulmech01,1873,1,PH2,NA,0,0,2,0,0,0,0,15,7,2,0,1,0,,3.6,,,,0,,,4,,,
greasjo01,1873,1,WS5,NA,1,6,7,7,7,0,0,189,112,38,3,7,3,,5.43,,,,0,,,90,,,
lovetle01,1873,1,ELI,NA,0,1,1,1,1,0,0,27,22,7,0,1,1,,7,,,,0,,,16,,,
martiph01,1873,1,NY2,NA,0,1,6,1,1,0,0,102,50,13,0,7,1,,3.44,,,,0,,,37,,,
mathebo01,1873,1,NY2,NA,29,23,52,52,47,2,0,1329,489,126,5,62,75,,2.56,,,,0,,,348,,,
mcbridi01,1873,1,PH1,NA,24,19,46,46,38,3,0,1148,453,141,3,47,25,,3.32,,,,0,,,325,,,
mcdoo01,1873,1,BL4,NA,0,1,1,1,1,0,0,27,18,3,0,0,0,,3,,,,0,,,24,,,
mcmuljo01,1873,1,PH1,NA,1,0,1,1,1,0,0,24,10,2,0,1,2,,2.25,,,,0,,,5,,,
selmafr01,1873,1,BL4,NA,0,1,1,1,1,0,0,27,21,8,0,0,0,,8,,,,0,,,26,,,
spaldal01,1873,1,BS1,NA,41,14,60,55,48,1,2,1493,643,136,5,28,31,,2.46,,,,0,,,414,,,
stearbi01,1873,1,WS5,NA,7,25,32,32,32,0,0,849,481,143,8,15,4,,4.55,,,,0,,,395,,,
strated01,1873,1,BL4,NA,0,3,3,3,3,0,0,81,75,25,3,0,0,,8.33,,,,0,,,75,,,
woltery01,1873,1,ELI,NA,0,1,1,1,1,0,0,27,13,0,0,1,1,,0,,,,0,,,23,,,
wrighha01,1873,1,BS1,NA,2,2,12,5,0,0,1,115,65,18,0,7,0,,4.23,,,,1,,,46,,,
zettlge01,1873,1,PH2,NA,36,15,51,51,49,0,0,1380,593,138,3,41,28,,2.7,,,,0,,,368,,,
bechtge01,1874,1,PH2,NA,1,3,6,4,4,0,0,126,64,18,0,0,13,,3.86,,,,0,,,42,,,
bondto01,1874,1,BR2,NA,22,32,55,55,55,1,0,1491,609,176,16,10,11,,3.19,,,,0,,,440,,,
brainas01,1874,1,BL1,NA,5,22,29,27,25,0,0,717,403,131,1,27,16,,4.93,,,,0,,,329,,,
collida01,1874,1,CH2,NA,1,1,2,2,1,0,0,33,21,7,0,2,18,,5.73,,,,0,,,17,,,
cummica01,1874,1,PH2,NA,28,26,54,54,52,3,0,1446,602,154,4,21,11,,2.88,,,,0,,,386,,,
fergubo01,1874,1,BR2,NA,0,1,1,1,1,0,0,27,12,4,0,3,15,,4,,,,0,,,10,,,
fishech01,1874,1,HR1,NA,14,23,39,35,31,0,0,951,405,107,1,10,11,,3.04,,,,0,,,277,,,
forceda01,1874,1,CH2,NA,0,0,1,0,0,0,0,21,22,19,4,0,0,,24.43,,,,0,,,24,,,
hatfijo01,1874,1,NY2,NA,0,1,3,0,0,0,0,24,11,2,0,1,13,,2.25,,,,0,,,6,,,
mannija01,1874,1,BL1,NA,4,16,22,20,18,0,0,539,231,68,3,10,12,,3.41,,,,0,,,168,,,
mathebo01,1874,1,NY2,NA,42,22,65,65,62,4,0,1734,647,148,3,39,10,,2.3,,,,0,,,371,,,
mcbridi01,1874,1,PH1,NA,33,22,55,55,55,0,0,1461,514,138,5,29,10,,2.55,,,,0,,,344,,,
ryanjo01,1874,1,BL1,NA,0,0,1,0,0,0,0,10,13,3,0,0,0,,8.1,,,,0,,,8,,,
spaldal01,1874,1,BS1,NA,52,16,71,69,65,4,0,1849,753,161,1,23,11,,2.35,,,,0,,,402,,,
stearbi01,1874,1,HR1,NA,2,14,22,18,14,0,1,492,255,82,1,13,14,,4.5,,,,0,,,194,,,
wrighha01,1874,1,BS1,NA,0,2,6,2,0,0,3,50,24,5,0,4,15,,2.7,,,,0,,,13,,,
zettlge01,1874,1,CH2,NA,27,30,57,57,57,3,0,1547,653,176,3,46,12,,3.07,,,,0,,,439,,,
arundha01,1875,1,BR2,NA,0,1,1,1,0,0,0,7,6,3,0,0,0,,11.57,,,,0,,,6,,,
bechtge01,1875,2,PH1,NA,3,1,4,4,4,0,0,108,45,9,0,3,12,,2.25,,,,0,,,19,,,
bechtge01,1875,1,PH3,NA,2,12,14,14,14,0,0,378,170,55,0,3,12,,3.93,,,,0,,,138,,,
blongjo01,1875,1,SL1,NA,3,12,15,15,12,1,0,387,169,48,0,2,11,,3.35,,,,1,,,121,,,
bondto01,1875,1,HR1,NA,19,16,40,39,37,6,0,1056,301,61,3,10,8,,1.56,,,,0,,,152,,,
bordejo01,1875,1,PH2,NA,2,4,7,7,7,2,0,198,47,12,0,7,7,,1.64,,,,0,,,30,,,
boydbi01,1875,1,BR2,NA,0,0,1,0,0,0,0,5,4,0,0,0,0,,0,,,,0,,,3,,,
bradlge01,1875,1,SL2,NA,33,26,60,60,57,4,0,1607,538,122,3,16,9,,2.05,,,,0,,,304,,,
cassijo01,1875,1,BR2,NA,1,20,30,22,18,0,0,644,278,95,6,12,12,,3.98,,,,0,,,242,,,
clintji01,1875,1,BR2,NA,1,14,17,14,9,0,0,369,146,44,0,8,11,,3.22,,,,0,,,104,,,
cummica01,1875,1,HR1,NA,35,12,48,47,46,7,0,1251,396,74,0,6,8,,1.6,,,,0,,,184,,,
devliji01,1875,1,CH2,NA,7,16,28,24,24,0,0,672,254,72,0,11,10,,2.89,,,,0,,,179,,,
edwar01,1875,1,BR2,NA,0,1,1,1,0,0,0,6,4,2,0,0,0,,9,,,,0,,,6,,,
fergubo01,1875,1,HR1,NA,0,0,1,0,0,0,0,6,9,4,1,0,0,,18,,,,0,,,7,,,
fishech01,1875,1,PH2,NA,22,19,41,41,36,2,0,1070,345,76,6,9,8,,1.92,,,,0,,,189,,,
fleetfr01,1875,1,SL2,NA,2,1,3,3,3,0,0,81,33,7,0,3,12,,2.33,,,,0,,,17,,,
fleetfr01,1875,2,BR2,NA,0,1,2,1,1,0,0,46,24,8,1,0,14,,4.7,,,,0,,,20,,,
galvipu01,1875,1,SL2,NA,4,2,8,7,7,1,1,186,53,15,0,1,7,,2.18,,,,0,,,37,,,
gedneco01,1875,1,NY2,NA,1,0,2,1,1,0,0,33,7,2,0,1,6,,1.64,,,,0,,,4,,,
goldemi01,1875,1,KEO,NA,1,12,13,13,13,0,0,336,110,35,0,14,10,,2.81,,,,0,,,88,,,
goldemi01,1875,2,CH2,NA,6,7,14,14,12,1,0,357,129,38,0,11,10,,2.87,,,,0,,,95,,,
heifefr01,1875,1,BS1,NA,0,0,2,0,0,0,1,7,6,2,0,0,0,,7.71,,,,0,,,4,,,
knighge01,1875,1,NH1,NA,1,0,1,1,1,0,0,27,12,2,0,0,12,,2,,,,0,,,6,,,
knighlo01,1875,1,PH1,NA,6,5,13,13,12,0,0,321,114,29,0,12,10,,2.44,,,,0,,,73,,,
luffhe01,1875,1,NH1,NA,1,6,10,7,5,0,0,209,100,37,2,3,13,,4.78,,,,2,,,91,,,
mannija01,1875,1,BS1,NA,15,2,27,17,8,1,7,419,153,34,1,14,10,,2.19,,,,0,,,86,,,
masonch01,1875,2,WS6,NA,0,0,1,0,0,0,0,6,3,1,0,1,0,,4.5,,,,0,,,2,,,
mathebo01,1875,1,NY2,NA,29,38,70,70,69,2,0,1880,709,168,3,23,10,,2.41,,,,0,,,421,,,
mcbridi01,1875,1,PH1,NA,44,14,60,60,59,6,0,1614,602,118,4,25,10,,1.97,,,,0,,,297,,,
mcmuljo01,1875,1,PH2,NA,0,0,4,0,0,0,0,38,31,9,0,1,22,,6.39,,,,0,,,23,,,
mcveyca01,1875,1,BS1,NA,1,0,3,2,0,0,1,33,15,4,0,1,13,,3.27,,,,0,,,9,,,
morgapi01,1875,1,SL1,NA,1,3,7,4,4,1,0,126,38,16,0,1,8,,3.43,,,,0,,,40,,,
nichotr01,1875,1,NH1,NA,4,29,34,33,30,0,0,864,319,97,2,10,10,,3.03,,,,1,,,245,,,
oneilj01,1875,1,BR2,NA,0,4,5,4,3,0,0,102,56,18,2,0,14,,4.76,,,,0,,,45,,,
paborch01,1875,1,BR2,NA,0,1,1,1,0,0,0,12,11,4,0,1,0,,9,,,,0,,,12,,,
parksbi01,1875,1,WS6,NA,4,8,14,11,9,0,0,320,146,48,5,6,12,,4.05,,,,0,,,120,,,
parksbi01,1875,2,PH2,NA,0,0,2,0,0,0,0,16,13,4,0,1,0,,6.75,,,,0,,,11,,,
pearcdi01,1875,1,SL2,NA,0,0,2,0,0,0,0,16,10,2,0,0,0,,3.38,,,,0,,,11,,,
ryanjo01,1875,1,NH1,NA,1,5,10,6,4,0,0,178,69,22,1,9,11,,3.34,,,,0,,,55,,,
spaldal01,1875,1,BS1,NA,55,5,72,63,52,7,8,1725,571,97,1,14,9,,1.52,,,,1,,,241,,,
stearbi01,1875,1,WS6,NA,1,14,17,16,14,0,0,423,243,84,1,4,15,,5.36,,,,0,,,211,,,
suttoez01,1875,1,PH1,NA,0,0,2,0,0,0,0,18,14,5,0,0,0,,7.5,,,,0,,,13,,,
weavesa01,1875,1,PH2,NA,1,0,1,1,1,0,0,18,6,1,0,2,12,,1.5,,,,0,,,2,,,
withech01,1875,1,WS6,NA,0,1,1,1,0,0,0,3,4,2,0,0,0,,18,,,,0,,,5,,,
wrighge01,1875,1,BS1,NA,0,1,2,0,0,0,0,12,5,1,0,0,11,,2.25,,,,0,,,3,,,
zettlge01,1875,1,CH2,NA,17,14,31,31,29,6,0,846,269,57,0,6,8,,1.82,,,,0,,,142,,,
zettlge01,1875,2,PH2,NA,12,8,21,21,20,1,0,541,208,48,0,10,10,,2.4,,,,0,,,121,,,
barnero01,1876,1,CHN,NL,0,0,1,0,0,0,0,4,7,3,0,0,0,0.53,20.25,,0,,0,13,0,8,,,
blongjo01,1876,1,SL3,NL,0,0,1,0,0,0,0,12,2,0,0,1,0,0.15,0,,0,,0,14,1,0,,,
bondto01,1876,1,HAR,NL,31,13,45,45,45,6,0,1224,355,76,2,13,88,0.22,1.68,,8,,0,1623,0,164,,,
bootham01,1876,1,CN1,NL,0,1,3,1,0,0,0,29,22,10,0,0,0,0.43,9.31,,0,,0,51,1,18,,,
boothed01,1876,1,NY3,NL,0,0,1,0,0,0,0,15,16,6,0,0,0,0.47,10.8,,0,,0,34,1,10,,,
bordejo01,1876,1,BSN,NL,11,12,29,24,16,2,1,655,257,70,4,51,34,0.27,2.89,,21,,0,983,6,155,,,
bradlfo01,1876,1,BSN,NL,9,10,22,21,16,1,1,520,201,48,1,16,16,0.26,2.49,,7,,0,779,1,116,,,
bradlge01,1876,1,SL3,NL,45,19,64,64,63,16,0,1719,470,78,3,38,103,0.21,1.23,,34,,0,2269,0,229,,,
clackbo01,1876,1,CN1,NL,0,0,1,0,0,0,0,6,2,1,0,0,0,0.25,4.5,,0,,0,8,1,1,,,
clintji01,1876,1,LS1,NL,0,1,1,1,1,0,0,27,12,6,0,0,1,0.27,6,,2,,0,43,0,11,,,
coonwi01,1876,1,PHN,NL,0,0,2,0,0,0,0,21,9,4,0,0,0,0.25,5.14,,0,,0,35,2,8,,,
cummica01,1876,1,HAR,NL,16,8,24,24,24,5,0,648,215,40,0,14,26,0.23,1.67,,7,,0,913,0,97,,,
deando01,1876,1,CN1,NL,4,26,30,30,26,0,0,788,397,109,1,24,22,0.32,3.73,,17,,0,1257,1,268,,,
devliji01,1876,1,LS1,NL,30,35,68,68,66,5,0,1866,566,108,3,37,122,0.22,1.56,,14,,0,2568,0,309,,,
fishech01,1876,1,CN1,NL,4,20,28,24,22,0,0,688,294,77,6,6,29,0.28,3.02,,6,,0,1039,4,202,,,
gouldch01,1876,1,CN1,NL,0,0,2,0,0,0,0,13,10,0,0,0,0,0.4,0,,0,,0,25,1,9,,,
knighlo01,1876,1,PHN,NL,10,22,34,32,27,0,0,846,383,82,0,34,12,0.29,2.62,,23,,0,1324,1,288,,,
laffefl01,1876,1,PHN,NL,0,1,1,1,1,0,0,27,5,0,0,0,0,0.15,0,,0,,0,33,0,3,,,
larkite01,1876,1,NY3,NL,0,1,1,1,1,0,0,27,9,3,0,0,0,0.23,3,,0,,0,39,0,7,,,
mannija01,1876,1,BSN,NL,18,5,34,20,13,0,5,592,213,47,1,32,24,0.25,2.14,,16,,0,878,13,139,,,
mathebo01,1876,1,NY3,NL,21,34,56,56,55,2,0,1548,693,164,8,24,37,0.3,2.86,,3,,0,2327,0,395,,,
mcbridi01,1876,1,BSN,NL,0,4,4,4,3,0,0,99,53,10,1,5,2,0.35,2.73,,1,,0,155,0,35,,,
mcveyca01,1876,1,CHN,NL,5,2,11,6,5,0,2,178,57,10,0,2,9,0.23,1.52,,2,,0,245,5,22,,,
meyerle01,1876,1,PHN,NL,0,2,2,2,2,0,0,54,28,10,0,1,0,0.33,5,,6,,0,84,0,23,,,
nichotr01,1876,1,BSN,NL,1,0,1,1,1,0,0,27,7,1,0,0,0,0.2,1,,0,,0,35,0,5,,,
pearcfr01,1876,1,LS1,NL,0,0,1,0,0,0,0,12,5,2,0,1,1,0.26,4.5,,2,,0,20,1,4,,,
peterjo01,1876,1,CHN,NL,0,0,1,0,0,0,1,3,1,0,0,1,0,0.25,0,,0,,0,5,1,1,,,
piersda01,1876,1,CN1,NL,0,1,1,1,0,0,0,0,2,2,1,0,0,1,,,0,,0,2,0,2,,,
ryanjo01,1876,1,LS1,NL,0,0,1,0,0,0,0,24,22,5,0,0,1,0.44,5.63,,7,,0,49,1,20,,,
spaldal01,1876,1,CHN,NL,47,12,61,60,53,8,0,1586,542,103,6,26,39,0.24,1.75,,1,,0,2219,1,226,,,
whitede01,1876,1,CHN,NL,0,0,1,0,0,0,1,6,1,0,0,0,3,0.14,0,,0,,0,7,1,0,,,
willida01,1876,1,CN1,NL,1,8,9,9,9,0,0,249,123,39,1,4,9,0.33,4.23,,5,,0,367,0,75,,,
wrighge01,1876,1,BSN,NL,0,0,1,0,0,0,0,3,1,0,0,0,1,0.25,0,,1,,0,4,1,0,,,
zettlge01,1876,1,PHN,NL,4,20,28,25,23,1,2,702,358,101,2,6,10,0.33,3.88,,4,,0,1089,4,212,,,
battijo01,1877,1,SL3,NL,0,0,1,0,0,0,0,11,3,2,0,1,1,0.2,4.91,,1,,0,16,1,2,,,
blongjo01,1877,1,SL3,NL,10,9,25,21,17,0,0,562,203,57,0,38,51,0.26,2.74,,29,,0,813,4,121,,,
bondto01,1877,1,BSN,NL,40,17,58,58,58,6,0,1563,530,122,5,36,170,0.24,2.11,,18,,0,2165,0,248,,,
bootham01,1877,1,CN1,NL,1,7,12,8,6,0,0,258,114,34,1,13,18,0.29,3.56,,7,,0,398,4,75,,,
bradlge01,1877,1,CHN,NL,18,23,50,44,35,2,0,1182,452,145,4,39,59,0.26,3.31,,39,,0,1719,7,266,,,
cassijo01,1877,1,HAR,NL,1,1,2,2,2,0,0,54,24,10,0,1,2,0.32,5,,0,,0,76,0,11,,,
cummica01,1877,1,CN1,NL,5,14,19,19,16,0,0,467,219,75,2,13,11,0.31,4.34,,15,,0,709,0,144,,,
devliji01,1877,1,LS1,NL,35,25,61,61,61,4,0,1677,617,140,4,41,141,0.27,2.25,,20,,0,2328,0,288,,,
fergubo01,1877,1,HAR,NL,1,1,3,2,2,0,0,75,38,11,0,2,1,0.35,3.96,,0,,0,110,1,15,,,
larkite01,1877,1,HAR,NL,29,25,56,56,55,4,0,1503,510,119,2,53,96,0.24,2.14,,18,,0,2132,0,285,,,
mannija01,1877,1,CN1,NL,0,4,10,4,2,0,1,132,83,34,1,7,6,0.37,6.95,,11,,0,226,6,65,,,
mathebo01,1877,1,CN1,NL,3,12,15,15,13,0,0,388,208,58,0,17,9,0.33,4.04,,10,,0,631,0,132,,,
mcveyca01,1877,1,CHN,NL,4,8,17,10,6,0,2,276,129,46,2,11,20,0.3,4.5,,3,,0,439,6,87,,,
mitchbo01,1877,1,CN1,NL,6,5,12,12,11,1,0,300,123,39,0,11,41,0.28,3.51,,4,,0,448,0,69,,,
nichotr01,1877,1,SL3,NL,18,23,42,39,35,1,0,1050,376,101,2,53,80,0.26,2.6,,22,,0,1484,3,195,,,
reisla01,1877,1,CHN,NL,3,1,4,4,4,1,0,108,29,3,1,6,11,0.21,0.75,,3,,0,142,0,8,,,
roweda01,1877,1,CHN,NL,0,1,1,1,0,0,0,3,3,2,0,2,0,0.6,18,,0,,0,7,0,2,,,
spaldal01,1877,1,CHN,NL,1,0,4,1,0,0,1,33,17,4,0,0,2,0.32,3.27,,0,,0,53,2,12,,,
whitewi01,1877,1,BSN,NL,2,1,3,3,3,1,0,81,27,9,0,2,7,0.24,3,,2,,0,113,0,15,,,
allisdo01,1878,1,PRO,NL,0,0,1,0,0,0,0,15,11,1,0,1,0,0.44,1.8,,0,,0,26,1,5,,,
bondto01,1878,1,BSN,NL,40,19,59,59,57,9,0,1598,571,122,5,33,182,0.26,2.06,,13,,0,2159,1,222,,,
brownle01,1878,1,PRO,NL,0,0,1,0,0,0,0,3,0,2,0,4,0,0,18,,2,,0,8,0,4,,,
coreyfr01,1878,1,PRO,NL,1,2,5,5,2,0,0,69,22,6,0,7,7,0.25,2.35,,1,,0,95,0,10,,,
ellicjo01,1878,1,ML2,NL,0,1,1,0,0,0,0,9,1,1,0,1,0,0.1,3,,1,,0,11,1,1,,,
fishech01,1878,1,PRO,NL,0,1,1,1,1,0,0,27,14,4,0,0,2,0.3,4,,1,,0,46,0,12,,,
goldemi01,1878,1,ML2,NL,3,13,22,18,15,0,0,483,217,74,1,33,52,0.29,4.14,,24,,0,769,4,171,,,
hankifr01,1878,1,CHN,NL,0,1,1,1,1,0,0,27,11,6,0,0,4,0.28,6,,1,,0,39,0,9,,,
healeto01,1878,2,IN1,NL,6,4,11,10,9,0,1,267,98,22,1,13,18,0.27,2.22,,2,,0,376,1,50,,,
healeto01,1878,1,PRO,NL,0,3,3,3,3,0,0,72,27,8,1,7,2,0.27,3,,6,,0,104,0,17,,,
larkite01,1878,1,CHN,NL,29,26,56,56,56,1,0,1518,511,126,4,31,163,0.24,2.24,,37,,0,2105,0,288,,,
mannija01,1878,1,BSN,NL,1,0,3,1,1,0,0,34,24,18,1,5,2,0.39,14.29,,4,,0,66,1,19,,,
mccorji01,1878,1,IN1,NL,5,8,14,14,12,1,0,351,128,22,0,15,36,0.26,1.69,,4,,0,490,0,47,,,
mckelru01,1878,1,IN1,NL,0,2,4,1,1,0,0,75,38,6,1,3,3,0.32,2.16,,3,,0,121,3,23,,,
mitchbo01,1878,1,CN1,NL,7,2,9,9,9,1,0,240,69,19,1,18,51,0.22,2.14,,3,,0,328,0,32,,,
nichotr01,1878,1,PRO,NL,4,7,11,10,10,0,0,294,157,46,0,8,21,0.34,4.22,,9,,0,464,1,98,,,
nolanth01,1878,1,IN1,NL,13,22,38,38,37,1,0,1041,357,99,1,56,125,0.25,2.57,,21,,0,1469,0,208,,,
reisla01,1878,1,CHN,NL,1,3,4,4,4,0,0,108,55,13,0,4,8,0.33,3.25,,0,,0,168,0,34,,,
wardjo01,1878,1,PRO,NL,22,13,37,37,37,6,0,1002,308,56,3,34,116,0.23,1.51,,26,,0,1365,0,151,,,
weavesa01,1878,1,ML2,NL,12,31,45,43,39,1,0,1149,371,83,2,21,95,0.23,1.95,,25,,0,1589,2,214,,,
wheelha01,1878,1,PRO,NL,6,1,7,6,6,0,0,186,70,24,1,25,25,0.27,3.48,,13,,0,280,1,40,,,
whitewi01,1878,1,CN1,NL,30,21,52,52,52,5,0,1404,477,93,1,45,169,0.25,1.79,,40,,0,1939,0,249,,,
bondto01,1879,1,BSN,NL,43,19,64,64,59,11,0,1666,543,121,8,24,155,0.25,1.96,,13,,0,2189,1,206,,,
bradlge01,1879,1,TRN,NL,13,40,54,54,53,3,0,1461,590,154,12,26,133,0.27,2.85,,43,,0,2170,0,361,,,
broutda01,1879,1,TRN,NL,0,2,3,2,2,0,0,63,35,13,0,8,6,0.34,5.57,,4,,0,110,1,30,,,
dorgami01,1879,1,SR1,NL,0,0,2,0,0,0,0,36,13,3,0,2,8,0.26,2.25,,2,,0,52,0,6,,,
foleycu01,1879,1,BSN,NL,9,9,21,16,16,1,0,485,175,45,1,15,57,0.25,2.51,,9,,0,709,4,111,,,
galvipu01,1879,1,BFN,NL,37,27,66,66,65,6,0,1779,585,150,3,31,136,0.24,2.28,,23,,0,2436,0,299,,,
gardngi01,1879,1,TRN,NL,0,2,2,2,2,0,0,42,27,9,0,0,3,0.36,5.79,,7,,0,74,0,21,,,
goldsfr01,1879,1,TRN,NL,2,4,8,7,7,0,0,189,61,11,0,1,31,0.23,1.57,,3,,0,258,1,38,,,
hankifr01,1879,1,CHN,NL,15,10,26,25,25,2,0,692,248,64,0,27,69,0.25,2.5,,4,,0,1000,1,134,,,
larkite01,1879,1,CHN,NL,31,23,58,58,57,4,0,1540,514,139,5,30,142,0.24,2.44,,20,,0,2176,0,277,,,
mathebo01,1879,1,PRO,NL,12,6,27,25,15,1,1,567,194,48,4,26,90,0.25,2.29,,17,,0,779,2,85,,,
